Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 100,000 JPY)"
引き分け 0-0,17.2,4.41,0.7588,0.0,0.0
England 1-0,7.2,10.01,0.7211,0.0,0.0
引き分け 1-1,11.4,6.23,0.7104,0.0,0.0
England 2-0,4.5,14.23,0.6401,0.0,0.0
England その他(4得点以上),1.8,28.6,0.5148,0.0,0.0
England 2-1,6.2,7.72,0.4789,0.0,0.0
England 3-0,3.3,12.81,0.4228,0.0,0.0
Ghana 1-2,26.2,1.55,0.4067,0.0,0.0
引き分け 2-2,18.5,2.1,0.388,0.0,0.0
Ghana 0-1,22.8,1.6,0.3651,0.0,0.0
England 3-1,4.5,6.96,0.3131,0.0,0.0
Ghana 0-2,48.1,0.57,0.2763,0.0,0.0
Ghana 2-3,72.8,0.38,0.2763,0.0,0.0
England 3-2,14.6,1.89,0.2758,0.0,0.0
引き分け その他(3得点以上),66.9,0.38,0.251,0.0,0.0
Ghana 1-3,72.4,0.28,0.2034,0.0,0.0
Ghana その他(4得点以上),103.6,0.17,0.1782,0.0,0.0
Ghana 0-3,112.6,0.1,0.1171,0.0,0.0
