Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 100,000 JPY)"
Panama その他(4得点以上),84.6,2.39,2.0218,0.00611,611.0
Panama 3-1,64.6,2.38,1.5368,0.00422,422.0
Panama 3-0,81.7,1.49,1.2162,0.00134,134.0
Panama 2-0,29.8,4.07,1.2121,0.00368,368.0
Panama 3-2,63.1,1.9,1.1994,0.00161,161.0
Panama 2-1,17.7,6.5,1.1504,0.0045,450.0
引き分け 1-1,7.8,12.9,1.0066,0.00048,48.0
Panama 1-0,15.3,6.34,0.9705,0.0,0.0
引き分け 0-0,9.9,7.81,0.7735,0.0,0.0
引き分け 2-2,14.6,5.19,0.7582,0.0,0.0
引き分け その他(3得点以上),62.0,1.13,0.7016,0.0,0.0
Croatia 0-1,5.9,9.72,0.5733,0.0,0.0
Croatia 2-3,18.1,2.77,0.5007,0.0,0.0
Croatia 1-2,5.1,9.46,0.4824,0.0,0.0
Croatia 0-2,3.6,8.62,0.3101,0.0,0.0
Croatia 1-3,5.3,5.04,0.2671,0.0,0.0
Croatia その他(4得点以上),3.2,7.7,0.2465,0.0,0.0
Croatia 0-3,3.4,4.59,0.156,0.0,0.0
