Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 100,000 JPY)"
引き分け 0-0,8.9,9.45,0.8407,0.0,0.0
Colombia 1-0,4.7,15.36,0.7218,0.0,0.0
Colombia 2-0,4.7,15.22,0.7153,0.0,0.0
引き分け 1-1,6.4,10.09,0.6461,0.0,0.0
Colombia その他(4得点以上),5.0,12.17,0.6083,0.0,0.0
Colombia 3-0,4.7,9.54,0.4483,0.0,0.0
DR Congo 0-1,10.7,4.09,0.4379,0.0,0.0
Colombia 2-1,4.9,8.71,0.4266,0.0,0.0
Colombia 3-1,5.8,5.46,0.3164,0.0,0.0
DR Congo 1-2,10.6,2.65,0.2808,0.0,0.0
DR Congo 0-2,17.8,1.41,0.2508,0.0,0.0
引き分け 2-2,9.7,2.49,0.2415,0.0,0.0
Colombia 3-2,14.2,1.56,0.2216,0.0,0.0
DR Congo その他(4得点以上),77.4,0.25,0.1947,0.0,0.0
DR Congo 1-3,34.9,0.51,0.1763,0.0,0.0
DR Congo 2-3,34.5,0.47,0.1638,0.0,0.0
DR Congo 0-3,57.4,0.27,0.1542,0.0,0.0
引き分け その他(3得点以上),38.3,0.32,0.1219,0.0,0.0
