Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
Canada その他(4得点以上),20.0,4.0,0.7995,0.0,0.0
Canada 0-3,22.5,3.09,0.6946,0.0,0.0
Canada 0-1,6.7,10.17,0.6816,0.0,0.0
引き分け 1-1,4.7,14.14,0.6647,0.0,0.0
引き分け 0-0,6.0,10.04,0.6025,0.0,0.0
Canada 0-2,8.3,7.25,0.6015,0.0,0.0
Switzerland 1-0,6.0,8.98,0.5391,0.0,0.0
Canada 1-2,6.2,8.29,0.514,0.0,0.0
Switzerland その他(4得点以上),15.4,2.81,0.4332,0.0,0.0
Switzerland 2-1,5.8,7.42,0.4304,0.0,0.0
Canada 1-3,12.1,3.53,0.4274,0.0,0.0
Switzerland 2-0,6.5,5.81,0.3775,0.0,0.0
Canada 2-3,17.2,2.02,0.3475,0.0,0.0
引き分け 2-2,7.3,4.74,0.3462,0.0,0.0
Switzerland 3-0,15.1,2.21,0.3344,0.0,0.0
Switzerland 3-2,15.6,1.81,0.2821,0.0,0.0
Switzerland 3-1,9.7,2.83,0.2745,0.0,0.0
引き分け その他(3得点以上),24.0,0.85,0.2028,0.0,0.0
