Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
Haiti 1-2,37.3,3.11,1.161,0.00222,133.0
引き分け 1-1,10.5,10.41,1.0928,0.00488,293.0
Haiti 0-2,55.5,1.62,0.8984,0.0,0.0
引き分け 2-2,29.5,2.99,0.8829,0.0,0.0
引き分け 0-0,10.3,8.47,0.8729,0.0,0.0
Haiti 0-1,20.8,4.11,0.854,0.0,0.0
Morocco 1-0,5.8,13.79,0.7995,0.0,0.0
Morocco 2-1,8.0,9.18,0.7344,0.0,0.0
Haiti 1-3,87.4,0.68,0.5913,0.0,0.0
Morocco 3-2,30.5,1.92,0.5851,0.0,0.0
Haiti 2-3,87.9,0.65,0.5717,0.0,0.0
Morocco 2-0,3.5,14.08,0.4928,0.0,0.0
Haiti その他(4得点以上),113.6,0.4,0.4504,0.0,0.0
引き分け その他(3得点以上),94.7,0.45,0.4274,0.0,0.0
Morocco 3-1,6.5,5.88,0.3825,0.0,0.0
Haiti 0-3,83.9,0.35,0.2952,0.0,0.0
Morocco 3-0,3.0,9.03,0.2708,0.0,0.0
Morocco その他(4得点以上),1.8,12.89,0.232,0.0,0.0
