Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
Mexico その他(4得点以上),8.0,13.96,1.1165,0.00832,499.0
Mexico 0-3,7.0,10.14,0.7096,0.0,0.0
Mexico 0-1,4.8,14.68,0.7045,0.0,0.0
Mexico 0-2,4.2,15.34,0.6441,0.0,0.0
引き分け 0-0,6.8,8.59,0.5842,0.0,0.0
引き分け 1-1,5.0,9.58,0.4788,0.0,0.0
Mexico 1-2,4.8,8.71,0.4181,0.0,0.0
Mexico 1-3,6.9,5.76,0.3973,0.0,0.0
Czech Republic 1-0,8.2,3.64,0.2985,0.0,0.0
Mexico 2-3,15.3,1.64,0.2502,0.0,0.0
引き分け 2-2,9.8,2.47,0.2425,0.0,0.0
Czech Republic 2-1,8.9,2.5,0.2221,0.0,0.0
Czech Republic 3-2,39.6,0.47,0.1855,0.0,0.0
Czech Republic 2-0,13.1,1.26,0.1648,0.0,0.0
Czech Republic 3-1,28.9,0.47,0.1365,0.0,0.0
引き分け その他(3得点以上),40.5,0.33,0.1346,0.0,0.0
Czech Republic 3-0,48.4,0.24,0.1153,0.0,0.0
Czech Republic その他(4得点以上),43.1,0.24,0.1037,0.0,0.0
