Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
South Korea その他(4得点以上),12.9,9.97,1.2859,0.01201,721.0
South Korea 0-1,5.6,13.51,0.7564,0.0,0.0
South Korea 0-3,9.8,7.36,0.7208,0.0,0.0
引き分け 1-1,5.7,11.74,0.6692,0.0,0.0
South Korea 0-2,5.0,12.64,0.6319,0.0,0.0
引き分け 0-0,6.6,9.26,0.6112,0.0,0.0
South Korea 1-3,9.2,5.47,0.5034,0.0,0.0
South Korea 1-2,5.2,9.4,0.4889,0.0,0.0
South Korea 2-3,17.0,2.04,0.3461,0.0,0.0
引き分け 2-2,9.7,3.5,0.3393,0.0,0.0
South Africa 1-0,5.9,5.2,0.3068,0.0,0.0
South Africa 2-1,6.2,4.01,0.2484,0.0,0.0
South Africa その他(4得点以上),30.0,0.65,0.1937,0.0,0.0
South Africa 3-2,21.3,0.87,0.1848,0.0,0.0
引き分け その他(3得点以上),33.7,0.55,0.1847,0.0,0.0
South Africa 2-0,7.8,2.29,0.179,0.0,0.0
South Africa 3-1,17.3,0.99,0.1719,0.0,0.0
South Africa 3-0,27.2,0.57,0.1548,0.0,0.0
