Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
引き分け 1-1,6.8,11.3,0.7685,0.0,0.0
引き分け 0-0,7.6,8.26,0.6275,0.0,0.0
Curaçao 2-1,15.4,3.97,0.6115,0.0,0.0
Ivory Coast 0-1,4.8,12.6,0.6049,0.0,0.0
Ivory Coast 1-2,6.1,9.58,0.5844,0.0,0.0
引き分け 2-2,15.2,3.67,0.5577,0.0,0.0
Ivory Coast 0-2,4.1,12.51,0.5128,0.0,0.0
Curaçao 1-0,10.2,4.68,0.4771,0.0,0.0
Curaçao 2-0,21.5,2.15,0.462,0.0,0.0
Curaçao その他(4得点以上),64.6,0.7,0.4533,0.0,0.0
Ivory Coast 1-3,6.8,5.9,0.4013,0.0,0.0
Curaçao 3-1,38.3,1.01,0.3883,0.0,0.0
Ivory Coast 0-3,4.8,7.7,0.3698,0.0,0.0
Ivory Coast 2-3,16.1,2.26,0.3639,0.0,0.0
Ivory Coast その他(4得点以上),3.1,11.59,0.3593,0.0,0.0
引き分け その他(3得点以上),54.9,0.63,0.3465,0.0,0.0
Curaçao 3-0,61.1,0.55,0.3352,0.0,0.0
Curaçao 3-2,28.0,0.94,0.2623,0.0,0.0
