Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
引き分け 1-1,7.9,11.62,0.9183,0.0,0.0
引き分け 0-0,13.2,6.57,0.8669,0.0,0.0
Sweden その他(4得点以上),45.3,1.84,0.8339,0.0,0.0
Sweden 0-1,16.4,4.78,0.7844,0.0,0.0
Sweden 1-2,12.7,5.46,0.6934,0.0,0.0
Sweden 0-2,22.2,2.94,0.6527,0.0,0.0
Japan 1-0,6.9,9.45,0.6523,0.0,0.0
Japan その他(4得点以上),4.7,11.63,0.5468,0.0,0.0
Sweden 1-3,28.4,1.86,0.5293,0.0,0.0
Sweden 0-3,49.8,1.0,0.4998,0.0,0.0
Japan 2-0,4.9,9.67,0.4738,0.0,0.0
引き分け 2-2,8.7,5.07,0.441,0.0,0.0
Sweden 2-3,25.2,1.73,0.4361,0.0,0.0
Japan 2-1,4.2,9.9,0.4159,0.0,0.0
Japan 3-0,5.5,5.99,0.3292,0.0,0.0
引き分け その他(3得点以上),26.5,1.21,0.3203,0.0,0.0
Japan 3-1,4.3,6.13,0.2635,0.0,0.0
Japan 3-2,7.0,3.14,0.2197,0.0,0.0
