Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
引き分け 1-1,11.8,7.93,0.936,0.0,0.0
Netherlands 0-1,9.4,9.33,0.8768,0.0,0.0
引き分け 2-2,23.3,3.3,0.7682,0.0,0.0
Netherlands 1-2,8.3,9.05,0.7508,0.0,0.0
Tunisia 2-1,26.8,2.65,0.7109,0.0,0.0
引き分け 0-0,14.2,4.67,0.6632,0.0,0.0
Netherlands 0-2,5.3,12.41,0.6576,0.0,0.0
Tunisia 3-2,74.9,0.8,0.6001,0.0,0.0
Netherlands 2-3,20.4,2.73,0.5574,0.0,0.0
引き分け その他(3得点以上),69.6,0.74,0.5184,0.0,0.0
Tunisia 3-1,79.1,0.64,0.5099,0.0,0.0
Tunisia 1-0,21.4,2.27,0.4863,0.0,0.0
Tunisia 2-0,43.4,1.07,0.4631,0.0,0.0
Netherlands 1-3,6.1,7.5,0.4572,0.0,0.0
Tunisia その他(4得点以上),80.7,0.52,0.4168,0.0,0.0
Netherlands 0-3,3.5,10.28,0.3599,0.0,0.0
Netherlands その他(4得点以上),1.3,23.85,0.31,0.0,0.0
Tunisia 3-0,80.4,0.26,0.2085,0.0,0.0
