Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
引き分け 1-1,6.8,11.42,0.7764,0.0,0.0
United States 0-1,6.9,9.1,0.6279,0.0,0.0
引き分け 0-0,10.0,6.25,0.6245,0.0,0.0
United States その他(4得点以上),4.9,12.24,0.5997,0.0,0.0
United States 1-2,5.5,9.92,0.5456,0.0,0.0
引き分け 2-2,10.1,5.17,0.5225,0.0,0.0
Turkey その他(4得点以上),26.1,1.94,0.5067,0.0,0.0
Turkey 2-1,9.0,5.46,0.4916,0.0,0.0
United States 2-3,14.2,3.27,0.4638,0.0,0.0
Turkey 1-0,9.8,4.59,0.4496,0.0,0.0
Turkey 3-2,24.2,1.8,0.4352,0.0,0.0
引き分け その他(3得点以上),33.0,1.29,0.4248,0.0,0.0
United States 0-2,4.3,9.51,0.409,0.0,0.0
Turkey 3-1,19.9,1.9,0.3779,0.0,0.0
United States 1-3,6.0,6.26,0.3758,0.0,0.0
Turkey 2-0,12.8,2.88,0.3692,0.0,0.0
United States 0-3,5.3,6.0,0.3182,0.0,0.0
Turkey 3-0,31.7,1.0,0.3179,0.0,0.0
