Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
France その他(4得点以上),6.0,13.19,0.7913,0.0,0.0
引き分け 1-1,6.9,11.02,0.7606,0.0,0.0
引き分け 0-0,11.4,5.5,0.6267,0.0,0.0
France 0-1,7.7,8.05,0.6197,0.0,0.0
Norway 1-0,13.5,4.27,0.5762,0.0,0.0
Norway その他(4得点以上),22.9,2.47,0.5665,0.0,0.0
Norway 2-0,19.3,2.92,0.5642,0.0,0.0
Norway 2-1,9.1,5.71,0.5195,0.0,0.0
France 0-2,5.9,8.75,0.5161,0.0,0.0
France 1-2,4.9,9.88,0.4839,0.0,0.0
France 0-3,7.6,5.69,0.4328,0.0,0.0
Norway 3-0,37.8,1.1,0.4158,0.0,0.0
Norway 3-1,19.1,2.15,0.4104,0.0,0.0
引き分け 2-2,6.9,5.57,0.3847,0.0,0.0
France 1-3,5.3,6.43,0.3407,0.0,0.0
Norway 3-2,13.4,2.1,0.2811,0.0,0.0
France 2-3,7.0,3.63,0.254,0.0,0.0
引き分け その他(3得点以上),14.8,1.57,0.2326,0.0,0.0
