Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
Saudi Arabia その他(4得点以上),27.2,3.2,0.871,0.0,0.0
引き分け 1-1,5.4,14.36,0.7756,0.0,0.0
引き分け 0-0,6.7,10.79,0.7229,0.0,0.0
Saudi Arabia 0-1,6.8,10.23,0.6958,0.0,0.0
Saudi Arabia 0-2,8.9,6.79,0.6042,0.0,0.0
Saudi Arabia 1-2,7.1,7.83,0.5562,0.0,0.0
Saudi Arabia 0-3,20.6,2.69,0.5543,0.0,0.0
Cape Verde 1-0,4.9,9.9,0.4849,0.0,0.0
Saudi Arabia 1-3,15.5,3.1,0.4813,0.0,0.0
Cape Verde その他(4得点以上),14.2,2.91,0.4134,0.0,0.0
引き分け 2-2,8.9,4.52,0.4023,0.0,0.0
Cape Verde 2-1,5.1,7.6,0.3878,0.0,0.0
Cape Verde 2-0,5.5,6.39,0.3517,0.0,0.0
Saudi Arabia 2-3,19.1,1.79,0.3422,0.0,0.0
Cape Verde 3-1,9.1,2.92,0.2662,0.0,0.0
Cape Verde 3-0,10.7,2.46,0.2632,0.0,0.0
Cape Verde 3-2,14.1,1.74,0.2452,0.0,0.0
引き分け その他(3得点以上),27.0,0.75,0.2029,0.0,0.0
