Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
Iran その他(4得点以上),38.6,3.04,1.1738,0.00231,139.0
Iran 0-3,32.2,2.87,0.9254,0.0,0.0
Iran 0-1,7.4,11.46,0.8481,0.0,0.0
Iran 0-2,10.9,7.39,0.8053,0.0,0.0
引き分け 1-1,4.8,14.55,0.6983,0.0,0.0
Egypt 1-0,6.0,10.23,0.6141,0.0,0.0
Iran 1-3,19.8,3.03,0.5998,0.0,0.0
Iran 1-2,7.3,7.79,0.5685,0.0,0.0
引き分け 0-0,4.5,12.05,0.5423,0.0,0.0
Egypt 2-1,5.3,7.03,0.3728,0.0,0.0
Egypt 2-0,6.1,6.03,0.3676,0.0,0.0
引き分け 2-2,8.2,4.1,0.3365,0.0,0.0
Iran 2-3,20.6,1.6,0.3289,0.0,0.0
Egypt その他(4得点以上),10.1,2.19,0.2212,0.0,0.0
Egypt 3-0,10.2,2.12,0.216,0.0,0.0
Egypt 3-1,8.3,2.47,0.2051,0.0,0.0
Egypt 3-2,13.9,1.44,0.2004,0.0,0.0
引き分け その他(3得点以上),30.7,0.61,0.1861,0.0,0.0
