Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
引き分け 1-1,8.1,8.47,0.6862,0.0,0.0
Belgium その他(4得点以上),2.8,22.45,0.6286,0.0,0.0
Belgium 1-2,5.7,9.41,0.5365,0.0,0.0
引き分け 2-2,13.2,3.89,0.5131,0.0,0.0
New Zealand その他(4得点以上),61.9,0.8,0.4982,0.0,0.0
Belgium 0-2,4.3,11.4,0.49,0.0,0.0
Belgium 0-1,5.6,8.71,0.4878,0.0,0.0
New Zealand 2-1,15.1,3.21,0.4847,0.0,0.0
引き分け その他(3得点以上),46.5,0.98,0.4563,0.0,0.0
引き分け 0-0,9.7,4.58,0.4447,0.0,0.0
New Zealand 3-2,39.9,1.07,0.4271,0.0,0.0
Belgium 1-3,5.6,7.6,0.4256,0.0,0.0
Belgium 0-3,4.6,9.2,0.4232,0.0,0.0
New Zealand 3-1,42.3,0.88,0.3739,0.0,0.0
Belgium 2-3,11.9,3.14,0.3735,0.0,0.0
New Zealand 1-0,13.4,2.51,0.3363,0.0,0.0
New Zealand 2-0,21.4,1.33,0.2836,0.0,0.0
New Zealand 3-0,59.0,0.36,0.2153,0.0,0.0
