Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
Colombia その他(4得点以上),33.3,4.36,1.4523,0.007,420.0
Colombia 3-0,34.3,3.08,1.056,0.00084,50.0
Colombia 1-0,9.0,9.5,0.8551,0.0,0.0
Colombia 2-0,12.0,7.01,0.8415,0.0,0.0
引き分け 0-0,8.4,9.23,0.7757,0.0,0.0
引き分け 1-1,5.2,13.91,0.7231,0.0,0.0
Colombia 3-1,18.2,3.69,0.6712,0.0,0.0
Colombia 2-1,7.6,8.4,0.6385,0.0,0.0
Portugal 0-1,6.6,8.54,0.5636,0.0,0.0
Colombia 3-2,17.7,2.21,0.391,0.0,0.0
Portugal 1-2,4.8,7.64,0.3668,0.0,0.0
引き分け 2-2,7.0,5.03,0.3523,0.0,0.0
Portugal 0-2,6.0,5.8,0.3482,0.0,0.0
Portugal その他(4得点以上),8.0,3.24,0.2589,0.0,0.0
Portugal 0-3,9.6,2.32,0.2225,0.0,0.0
引き分け その他(3得点以上),21.4,0.97,0.2086,0.0,0.0
Portugal 1-3,6.4,3.05,0.1953,0.0,0.0
Portugal 2-3,9.6,2.01,0.1929,0.0,0.0
