Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
Algeria その他(4得点以上),46.4,3.05,1.4167,0.00459,275.0
Austria その他(4得点以上),22.1,4.15,0.9176,0.0,0.0
Algeria 3-0,37.6,2.29,0.8599,0.0,0.0
Algeria 2-0,12.0,5.84,0.7007,0.0,0.0
Algeria 3-1,23.0,2.96,0.6812,0.0,0.0
Algeria 2-1,8.5,7.56,0.6427,0.0,0.0
Austria 0-1,6.5,9.8,0.6367,0.0,0.0
Algeria 1-0,7.1,8.78,0.6234,0.0,0.0
Austria 0-3,18.9,3.06,0.5786,0.0,0.0
Austria 0-2,8.1,7.09,0.5745,0.0,0.0
Austria 1-2,6.6,8.33,0.55,0.0,0.0
引き分け 1-1,3.9,14.03,0.5471,0.0,0.0
Algeria 3-2,26.8,1.92,0.5139,0.0,0.0
Austria 1-3,13.2,3.6,0.4749,0.0,0.0
引き分け 2-2,9.4,4.9,0.4602,0.0,0.0
Austria 2-3,20.7,2.11,0.4375,0.0,0.0
引き分け その他(3得点以上),25.8,0.91,0.2352,0.0,0.0
引き分け 0-0,2.0,9.62,0.1923,0.0,0.0
