Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
引き分け 1-1,13.7,5.03,0.6886,0.0,0.0
Argentina 1-2,8.6,7.12,0.6127,0.0,0.0
Argentina 0-1,8.2,7.35,0.6025,0.0,0.0
Argentina その他(4得点以上),1.6,37.23,0.5957,0.0,0.0
引き分け 2-2,27.0,2.12,0.5713,0.0,0.0
Argentina 0-2,4.5,11.99,0.5397,0.0,0.0
Argentina 2-3,23.9,2.18,0.5209,0.0,0.0
引き分け 0-0,15.9,2.93,0.4654,0.0,0.0
Argentina 1-3,5.8,7.34,0.4256,0.0,0.0
Argentina 0-3,2.9,12.35,0.3582,0.0,0.0
引き分け その他(3得点以上),67.4,0.48,0.3268,0.0,0.0
Jordan 3-2,71.8,0.42,0.3008,0.0,0.0
Jordan 1-0,19.5,1.08,0.2101,0.0,0.0
Jordan 2-1,14.8,1.37,0.2027,0.0,0.0
Jordan 3-1,74.0,0.27,0.2007,0.0,0.0
Jordan 2-0,38.2,0.44,0.1693,0.0,0.0
Jordan その他(4得点以上),76.8,0.21,0.1614,0.0,0.0
Jordan 3-0,77.0,0.09,0.0676,0.0,0.0
