Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 104,700 JPY)"
Switzerland その他(4得点以上),62.0,1.38,0.8566,0.0,0.0
Argentina その他(4得点以上),6.9,12.11,0.8355,0.0,0.0
引き分け 1-1,6.6,11.46,0.7567,0.0,0.0
引き分け 0-0,8.9,6.9,0.6137,0.0,0.0
Switzerland 0-2,23.0,2.62,0.6032,0.0,0.0
Switzerland 0-1,12.3,4.64,0.5706,0.0,0.0
Switzerland 0-3,68.8,0.82,0.5647,0.0,0.0
Switzerland 1-3,36.4,1.55,0.5626,0.0,0.0
Argentina 1-0,5.2,10.25,0.5332,0.0,0.0
Switzerland 1-2,10.4,4.94,0.5136,0.0,0.0
引き分け 2-2,10.9,4.65,0.5068,0.0,0.0
Switzerland 2-3,32.5,1.46,0.473,0.0,0.0
引き分け その他(3得点以上),40.8,1.02,0.4169,0.0,0.0
Argentina 2-1,4.0,9.9,0.3961,0.0,0.0
Argentina 3-0,5.9,6.62,0.3905,0.0,0.0
Argentina 2-0,3.7,10.55,0.3902,0.0,0.0
Argentina 3-1,5.2,6.22,0.3232,0.0,0.0
Argentina 3-2,10.3,2.92,0.3006,0.0,0.0
