Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 95,300 JPY)"
引き分け 0-0,9.9,7.95,0.787,0.0,0.0
引き分け 1-1,6.4,12.16,0.778,0.0,0.0
France その他(4得点以上),7.2,9.96,0.7172,0.0,0.0
France 1-0,5.8,11.14,0.6464,0.0,0.0
Morocco 0-1,10.9,5.37,0.5856,0.0,0.0
Morocco その他(4得点以上),43.4,1.31,0.5687,0.0,0.0
Morocco 0-2,18.1,2.93,0.5297,0.0,0.0
France 2-0,4.7,10.62,0.4993,0.0,0.0
Morocco 1-2,9.0,5.12,0.4607,0.0,0.0
France 3-0,7.4,6.19,0.4583,0.0,0.0
France 2-1,4.3,9.75,0.4194,0.0,0.0
Morocco 0-3,46.2,0.9,0.4138,0.0,0.0
引き分け 2-2,7.9,4.48,0.3536,0.0,0.0
Morocco 1-3,22.4,1.57,0.3509,0.0,0.0
France 3-1,5.8,5.69,0.3298,0.0,0.0
Morocco 2-3,17.8,1.37,0.2438,0.0,0.0
France 3-2,8.3,2.61,0.2166,0.0,0.0
引き分け その他(3得点以上),24.1,0.88,0.2131,0.0,0.0
