Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 104,700 JPY)"
England その他(4得点以上),14.5,11.47,1.6628,0.02455,2570.0
England 0-3,19.4,5.76,1.1183,0.00322,337.0
引き分け 0-0,11.9,6.44,0.7667,0.0,0.0
England 0-2,8.1,9.36,0.758,0.0,0.0
England 0-1,7.8,9.17,0.7149,0.0,0.0
引き分け 1-1,5.9,11.66,0.6878,0.0,0.0
England 1-3,8.3,6.09,0.5052,0.0,0.0
England 1-2,4.7,9.88,0.4645,0.0,0.0
Norway その他(4得点以上),20.5,2.04,0.4173,0.0,0.0
Norway 1-0,8.5,4.82,0.4101,0.0,0.0
引き分け 2-2,6.4,5.22,0.3339,0.0,0.0
England 2-3,8.8,3.21,0.2828,0.0,0.0
Norway 2-1,4.9,5.65,0.2767,0.0,0.0
Norway 2-0,9.0,3.06,0.275,0.0,0.0
引き分け その他(3得点以上),19.7,1.28,0.2523,0.0,0.0
Norway 3-0,20.8,1.08,0.2237,0.0,0.0
Norway 3-1,10.2,1.99,0.2027,0.0,0.0
Norway 3-2,9.7,1.84,0.1782,0.0,0.0
