Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 100,300 JPY)"
引き分け 0-0,9.5,12.86,1.2221,0.01307,1311.0
Canada 3-0,70.6,1.62,1.1407,0.00101,101.0
Canada その他(4得点以上),68.5,1.51,1.0323,0.00024,24.0
Canada 2-0,18.5,5.16,0.954,0.0,0.0
Canada 3-1,41.5,1.95,0.81,0.0,0.0
Canada 1-0,8.1,9.78,0.7921,0.0,0.0
引き分け 1-1,5.0,14.45,0.7223,0.0,0.0
Canada 2-1,9.8,6.23,0.6105,0.0,0.0
Morocco 0-1,4.4,12.91,0.5679,0.0,0.0
Canada 3-2,36.5,1.18,0.4303,0.0,0.0
引き分け 2-2,9.7,3.76,0.365,0.0,0.0
Morocco 0-2,3.8,8.52,0.3236,0.0,0.0
Morocco その他(4得点以上),9.5,3.4,0.3233,0.0,0.0
Morocco 1-2,3.7,8.01,0.2962,0.0,0.0
Morocco 0-3,7.2,3.43,0.2469,0.0,0.0
引き分け その他(3得点以上),44.9,0.51,0.229,0.0,0.0
Morocco 2-3,14.3,1.51,0.2166,0.0,0.0
Morocco 1-3,6.5,3.22,0.2095,0.0,0.0
