Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 100,300 JPY)"
引き分け 0-0,15.1,7.03,1.0617,0.00219,219.0
引き分け 1-1,9.2,10.84,0.9973,0.0,0.0
Paraguay 2-0,43.4,2.08,0.9041,0.0,0.0
Paraguay その他(4得点以上),101.1,0.88,0.8901,0.0,0.0
Paraguay 1-0,21.2,4.16,0.8821,0.0,0.0
Paraguay 2-1,20.8,4.1,0.8523,0.0,0.0
Paraguay 3-1,71.1,1.13,0.8002,0.0,0.0
France 0-1,6.9,11.17,0.771,0.0,0.0
引き分け 2-2,15.5,4.03,0.6246,0.0,0.0
Paraguay 3-2,54.1,1.11,0.5988,0.0,0.0
Paraguay 3-0,98.0,0.57,0.5607,0.0,0.0
引き分け その他(3得点以上),65.5,0.8,0.5268,0.0,0.0
France 1-2,5.0,9.78,0.4891,0.0,0.0
France 0-2,3.6,11.87,0.4273,0.0,0.0
France その他(4得点以上),3.0,13.6,0.4081,0.0,0.0
France 2-3,13.7,2.64,0.362,0.0,0.0
France 1-3,4.0,6.41,0.2565,0.0,0.0
France 0-3,3.2,7.78,0.2491,0.0,0.0
