Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 100,300 JPY)"
Brazil その他(4得点以上),10.6,10.31,1.0929,0.00484,486.0
引き分け 0-0,13.6,6.99,0.9509,0.0,0.0
引き分け 1-1,5.7,12.05,0.6871,0.0,0.0
Brazil 1-0,7.0,9.65,0.6754,0.0,0.0
Brazil 2-0,6.1,9.45,0.5762,0.0,0.0
Brazil 3-0,9.8,5.59,0.5477,0.0,0.0
Norway 0-1,10.3,5.24,0.5392,0.0,0.0
Norway その他(4得点以上),26.5,1.95,0.5179,0.0,0.0
Norway 0-2,14.5,3.24,0.4693,0.0,0.0
Brazil 2-1,4.1,9.81,0.4024,0.0,0.0
Norway 0-3,34.9,1.12,0.3912,0.0,0.0
Norway 1-2,6.5,5.75,0.3734,0.0,0.0
Brazil 3-1,5.9,5.81,0.3426,0.0,0.0
引き分け 2-2,6.6,5.1,0.3365,0.0,0.0
Norway 1-3,15.3,1.99,0.3044,0.0,0.0
Brazil 3-2,8.6,3.02,0.2594,0.0,0.0
引き分け その他(3得点以上),21.5,1.17,0.2525,0.0,0.0
Norway 2-3,12.2,1.77,0.2154,0.0,0.0
