Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 95,700 JPY)"
Spain その他(4得点以上),13.8,11.23,1.5499,0.02148,2056.0
引き分け 1-1,6.0,11.76,0.7056,0.0,0.0
Spain 0-3,11.0,5.96,0.656,0.0,0.0
引き分け 0-0,9.0,6.79,0.6111,0.0,0.0
Spain 0-1,5.9,9.69,0.5717,0.0,0.0
Portugal その他(4得点以上),29.7,1.78,0.5284,0.0,0.0
Spain 0-2,5.4,9.77,0.5273,0.0,0.0
Spain 1-2,4.4,9.88,0.4348,0.0,0.0
Spain 1-3,7.0,6.03,0.4224,0.0,0.0
Portugal 1-0,8.5,4.92,0.418,0.0,0.0
Portugal 2-1,6.7,5.46,0.3658,0.0,0.0
Portugal 2-0,12.1,2.98,0.3606,0.0,0.0
引き分け 2-2,7.0,5.0,0.35,0.0,0.0
Portugal 3-1,17.2,1.84,0.3167,0.0,0.0
Portugal 3-0,29.8,1.01,0.2996,0.0,0.0
Spain 2-3,9.3,3.05,0.284,0.0,0.0
Portugal 3-2,13.8,1.69,0.2328,0.0,0.0
引き分け その他(3得点以上),19.8,1.16,0.2294,0.0,0.0
