Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 95,300 JPY)"
引き分け 0-0,12.9,9.27,1.196,0.00824,785.0
Argentina 1-0,5.5,15.08,0.8296,0.0,0.0
引き分け 1-1,7.4,10.15,0.7513,0.0,0.0
Egypt 0-1,15.3,4.1,0.6266,0.0,0.0
Argentina 2-0,3.9,15.03,0.5862,0.0,0.0
Argentina その他(4得点以上),4.4,12.3,0.5412,0.0,0.0
Egypt 0-2,29.9,1.44,0.4315,0.0,0.0
Argentina 3-0,4.5,9.46,0.4257,0.0,0.0
Egypt 1-2,13.8,2.72,0.376,0.0,0.0
Argentina 2-1,4.2,8.79,0.3693,0.0,0.0
引き分け 2-2,11.9,2.57,0.3061,0.0,0.0
Argentina 3-1,4.4,5.53,0.2435,0.0,0.0
Egypt 1-3,42.7,0.53,0.2268,0.0,0.0
Egypt 0-3,70.1,0.28,0.1973,0.0,0.0
Egypt 2-3,37.7,0.5,0.1891,0.0,0.0
Egypt その他(4得点以上),65.0,0.27,0.1769,0.0,0.0
Argentina 3-2,10.8,1.62,0.1748,0.0,0.0
引き分け その他(3得点以上),40.9,0.34,0.1384,0.0,0.0
