Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 95,300 JPY)"
Colombia その他(4得点以上),16.4,6.98,1.1448,0.0047,448.0
引き分け 1-1,4.9,13.24,0.6486,0.0,0.0
引き分け 0-0,6.8,9.11,0.6193,0.0,0.0
Colombia 0-3,12.2,4.88,0.5951,0.0,0.0
Colombia 0-1,4.7,11.25,0.5287,0.0,0.0
Colombia 0-2,5.5,9.5,0.5227,0.0,0.0
Switzerland その他(4得点以上),30.7,1.69,0.5197,0.0,0.0
Colombia 1-2,5.0,9.35,0.4675,0.0,0.0
Switzerland 1-0,6.8,6.79,0.4619,0.0,0.0
Colombia 1-3,8.8,4.8,0.4224,0.0,0.0
Switzerland 2-1,6.7,5.97,0.4003,0.0,0.0
引き分け 2-2,8.1,4.6,0.3726,0.0,0.0
Switzerland 3-0,27.7,1.27,0.3525,0.0,0.0
Switzerland 2-0,9.0,3.88,0.3492,0.0,0.0
Colombia 2-3,14.2,2.36,0.3354,0.0,0.0
Switzerland 3-1,16.8,1.96,0.3292,0.0,0.0
Switzerland 3-2,20.1,1.51,0.3033,0.0,0.0
引き分け その他(3得点以上),30.5,0.85,0.26,0.0,0.0
