Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 104,700 JPY)"
Canada その他(4得点以上),8.5,11.1,0.9431,0.0,0.0
引き分け 0-0,7.8,8.82,0.6879,0.0,0.0
引き分け 1-1,6.0,11.29,0.6776,0.0,0.0
Canada 0-3,8.5,7.89,0.6702,0.0,0.0
Canada 0-1,4.8,13.4,0.6431,0.0,0.0
Canada 0-2,4.6,13.02,0.5989,0.0,0.0
Canada 1-2,4.4,9.41,0.4142,0.0,0.0
Canada 1-3,7.0,5.7,0.3991,0.0,0.0
South Africa 1-0,7.8,4.77,0.372,0.0,0.0
引き分け 2-2,10.1,3.4,0.3437,0.0,0.0
South Africa 2-1,8.4,3.75,0.3146,0.0,0.0
Canada 2-3,13.7,2.06,0.2823,0.0,0.0
South Africa 2-0,12.5,2.06,0.2577,0.0,0.0
South Africa その他(4得点以上),38.0,0.58,0.2198,0.0,0.0
South Africa 3-2,23.6,0.82,0.1935,0.0,0.0
引き分け その他(3得点以上),33.6,0.54,0.1813,0.0,0.0
South Africa 3-1,17.8,0.9,0.1607,0.0,0.0
South Africa 3-0,30.6,0.5,0.152,0.0,0.0
