Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 104,700 JPY)"
Paraguay その他(4得点以上),60.6,1.95,1.18,0.00151,158.0
引き分け 1-1,8.0,12.03,0.9627,0.0,0.0
引き分け 2-2,14.2,5.1,0.7237,0.0,0.0
Paraguay 1-2,12.4,5.73,0.7105,0.0,0.0
引き分け 0-0,9.7,6.97,0.6763,0.0,0.0
Paraguay 0-2,20.5,3.22,0.6603,0.0,0.0
Paraguay 1-3,32.4,1.98,0.6423,0.0,0.0
Paraguay 0-1,11.8,5.21,0.615,0.0,0.0
Paraguay 0-3,49.4,1.11,0.5505,0.0,0.0
Germany 1-0,5.5,9.64,0.5303,0.0,0.0
Paraguay 2-3,29.7,1.76,0.5237,0.0,0.0
引き分け その他(3得点以上),40.7,1.18,0.4785,0.0,0.0
Germany 2-1,4.5,9.82,0.4419,0.0,0.0
Germany その他(4得点以上),4.0,10.37,0.4149,0.0,0.0
Germany 3-2,13.0,3.02,0.3929,0.0,0.0
Germany 2-0,4.0,9.46,0.3784,0.0,0.0
Germany 3-1,5.1,5.82,0.297,0.0,0.0
Germany 3-0,4.9,5.61,0.2749,0.0,0.0
