Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 104,700 JPY)"
引き分け 0-0,9.9,9.22,0.9132,0.0,0.0
引き分け 1-1,5.9,13.29,0.7839,0.0,0.0
Norway 0-1,6.4,11.33,0.725,0.0,0.0
Ivory Coast 1-0,9.7,6.88,0.6669,0.0,0.0
Ivory Coast 2-0,14.4,3.91,0.5631,0.0,0.0
Ivory Coast その他(4得点以上),33.5,1.68,0.5622,0.0,0.0
Norway 0-2,5.4,9.5,0.513,0.0,0.0
Ivory Coast 3-0,39.9,1.28,0.5102,0.0,0.0
Norway その他(4得点以上),7.2,6.84,0.4925,0.0,0.0
Ivory Coast 2-1,7.1,5.98,0.4245,0.0,0.0
Ivory Coast 3-1,21.6,1.96,0.4223,0.0,0.0
Norway 1-2,4.2,9.32,0.3914,0.0,0.0
Norway 0-3,8.0,4.84,0.3873,0.0,0.0
引き分け 2-2,8.1,4.57,0.3703,0.0,0.0
Ivory Coast 3-2,21.7,1.49,0.3244,0.0,0.0
Norway 1-3,5.9,4.75,0.2802,0.0,0.0
Norway 2-3,9.4,2.33,0.219,0.0,0.0
引き分け その他(3得点以上),26.1,0.84,0.2186,0.0,0.0
