Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 104,700 JPY)"
引き分け 0-0,6.8,15.11,1.0274,0.00237,248.0
Ecuador 0-1,8.2,9.05,0.7422,0.0,0.0
引き分け 1-1,5.0,13.76,0.6879,0.0,0.0
Mexico 1-0,4.0,16.18,0.6471,0.0,0.0
Mexico その他(4得点以上),14.0,3.71,0.5188,0.0,0.0
Ecuador 0-2,12.7,3.71,0.4716,0.0,0.0
Mexico 2-0,4.2,10.73,0.4505,0.0,0.0
Ecuador 0-3,42.0,0.9,0.379,0.0,0.0
Ecuador 1-2,7.9,4.6,0.3634,0.0,0.0
Mexico 3-0,8.1,4.43,0.3588,0.0,0.0
Mexico 2-1,4.5,7.82,0.3519,0.0,0.0
Ecuador その他(4得点以上),47.2,0.64,0.302,0.0,0.0
引き分け 2-2,9.6,2.85,0.2736,0.0,0.0
Ecuador 1-3,24.2,1.12,0.2705,0.0,0.0
Mexico 3-1,8.2,3.23,0.2648,0.0,0.0
Mexico 3-2,17.1,1.18,0.2013,0.0,0.0
Ecuador 2-3,26.9,0.69,0.1863,0.0,0.0
引き分け その他(3得点以上),32.9,0.3,0.0996,0.0,0.0
