Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 104,700 JPY)"
引き分け 1-1,7.9,9.91,0.7831,0.0,0.0
引き分け 0-0,9.1,8.41,0.7654,0.0,0.0
England 1-0,5.1,14.14,0.7211,0.0,0.0
DR Congo 0-1,16.7,3.8,0.6342,0.0,0.0
DR Congo 1-2,20.1,2.76,0.5557,0.0,0.0
引き分け 2-2,19.9,2.72,0.5419,0.0,0.0
DR Congo 0-2,36.1,1.4,0.5066,0.0,0.0
England 2-1,5.3,8.96,0.4748,0.0,0.0
England その他(4得点以上),3.4,13.72,0.4664,0.0,0.0
England 2-0,3.0,14.73,0.442,0.0,0.0
DR Congo 1-3,71.2,0.56,0.3989,0.0,0.0
England 3-0,3.6,9.67,0.3483,0.0,0.0
DR Congo 2-3,62.5,0.55,0.3449,0.0,0.0
England 3-2,19.0,1.79,0.3398,0.0,0.0
DR Congo その他(4得点以上),101.8,0.31,0.3128,0.0,0.0
England 3-1,5.3,5.88,0.3118,0.0,0.0
引き分け その他(3得点以上),76.5,0.39,0.299,0.0,0.0
DR Congo 0-3,90.0,0.28,0.256,0.0,0.0
