Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 104,700 JPY)"
Portugal その他(4得点以上),14.8,12.62,1.8676,0.03144,3291.0
Croatia その他(4得点以上),39.6,2.51,0.9935,0.0,0.0
Portugal 3-0,13.8,5.58,0.7694,0.0,0.0
Portugal 2-0,6.2,8.71,0.5401,0.0,0.0
Portugal 3-1,8.0,6.31,0.5049,0.0,0.0
引き分け 1-1,4.5,11.2,0.5039,0.0,0.0
Portugal 1-0,6.1,8.15,0.4972,0.0,0.0
引き分け 0-0,7.9,5.65,0.4464,0.0,0.0
Portugal 3-2,11.4,3.57,0.4072,0.0,0.0
Croatia 1-3,18.1,2.19,0.3971,0.0,0.0
引き分け その他(3得点以上),25.6,1.55,0.3963,0.0,0.0
Portugal 2-1,4.0,9.86,0.3945,0.0,0.0
Croatia 2-3,18.5,2.11,0.3896,0.0,0.0
引き分け 2-2,6.7,5.58,0.374,0.0,0.0
Croatia 1-2,6.2,5.81,0.3605,0.0,0.0
Croatia 0-3,31.0,1.14,0.3542,0.0,0.0
Croatia 0-1,7.8,4.43,0.3452,0.0,0.0
Croatia 0-2,10.9,3.03,0.3301,0.0,0.0
