Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 104,700 JPY)"
Spain その他(4得点以上),4.9,17.74,0.8695,0.0,0.0
引き分け 1-1,7.9,9.49,0.7495,0.0,0.0
引き分け 0-0,11.1,6.06,0.6726,0.0,0.0
Austria その他(4得点以上),90.7,0.62,0.5646,0.0,0.0
Spain 1-0,4.9,10.76,0.5273,0.0,0.0
引き分け 2-2,14.5,3.59,0.5205,0.0,0.0
Austria 0-1,16.2,3.19,0.5175,0.0,0.0
Austria 1-2,15.6,3.28,0.5119,0.0,0.0
Austria 2-3,50.0,0.9,0.4511,0.0,0.0
Austria 0-2,29.3,1.5,0.4394,0.0,0.0
Spain 3-2,16.7,2.62,0.4372,0.0,0.0
Austria 1-3,52.8,0.82,0.4355,0.0,0.0
Spain 2-1,4.1,9.52,0.3904,0.0,0.0
引き分け その他(3得点以上),52.6,0.73,0.3843,0.0,0.0
Spain 3-0,4.1,9.21,0.3776,0.0,0.0
Spain 2-0,2.9,12.63,0.3662,0.0,0.0
Spain 3-1,5.2,6.94,0.3611,0.0,0.0
Austria 0-3,78.6,0.38,0.2963,0.0,0.0
