Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 104,700 JPY)"
Colombia その他(4得点以上),9.1,16.29,1.4826,0.02979,3119.0
引き分け 0-0,8.6,7.49,0.6438,0.0,0.0
Colombia 3-0,6.1,10.54,0.6431,0.0,0.0
Colombia 1-0,4.5,13.46,0.6056,0.0,0.0
引き分け 1-1,6.4,9.11,0.5828,0.0,0.0
Colombia 2-0,3.4,14.99,0.5097,0.0,0.0
Colombia 3-1,6.6,6.2,0.4092,0.0,0.0
Colombia 2-1,4.1,8.81,0.3614,0.0,0.0
Ghana 0-1,9.4,3.21,0.3015,0.0,0.0
Colombia 3-2,14.7,1.82,0.2679,0.0,0.0
引き分け 2-2,10.1,2.59,0.2617,0.0,0.0
Ghana 1-2,9.6,2.46,0.2358,0.0,0.0
Ghana 0-2,16.3,1.16,0.1898,0.0,0.0
Ghana その他(4得点以上),70.2,0.27,0.1863,0.0,0.0
Ghana 2-3,32.4,0.51,0.1646,0.0,0.0
Ghana 1-3,32.2,0.48,0.155,0.0,0.0
引き分け その他(3得点以上),39.5,0.39,0.1526,0.0,0.0
Ghana 0-3,49.9,0.23,0.1139,0.0,0.0
