Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 104,700 JPY)"
Spain その他(4得点以上),26.2,5.2,1.3611,0.00716,750.0
Spain 0-3,33.4,2.97,0.9905,0.0,0.0
Spain 0-2,12.2,6.35,0.7742,0.0,0.0
引き分け 0-0,9.5,7.55,0.717,0.0,0.0
引き分け 1-1,5.0,13.2,0.6601,0.0,0.0
France その他(4得点以上),14.5,4.5,0.6518,0.0,0.0
Spain 0-1,8.1,7.96,0.645,0.0,0.0
Spain 1-3,15.6,3.97,0.619,0.0,0.0
Spain 1-2,6.0,8.49,0.5095,0.0,0.0
France 1-0,6.5,7.55,0.4907,0.0,0.0
引き分け 2-2,6.8,5.68,0.3863,0.0,0.0
France 2-0,6.3,5.78,0.3641,0.0,0.0
France 3-0,14.0,2.58,0.3609,0.0,0.0
Spain 2-3,13.2,2.65,0.3504,0.0,0.0
France 2-1,4.3,8.1,0.3484,0.0,0.0
引き分け その他(3得点以上),20.0,1.33,0.2668,0.0,0.0
France 3-1,7.1,3.61,0.2566,0.0,0.0
France 3-2,9.6,2.53,0.2432,0.0,0.0
