Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 104,700 JPY)"
Argentina その他(4得点以上),20.1,4.67,0.9393,0.0,0.0
引き分け 0-0,10.1,9.17,0.9265,0.0,0.0
引き分け 1-1,5.6,13.85,0.7758,0.0,0.0
Argentina 0-1,8.0,9.67,0.7738,0.0,0.0
Argentina 0-3,19.6,3.27,0.6411,0.0,0.0
Argentina 0-2,8.4,7.28,0.6119,0.0,0.0
England 1-0,7.3,8.29,0.6053,0.0,0.0
Argentina 1-2,5.7,8.56,0.4879,0.0,0.0
England その他(4得点以上),15.1,3.04,0.4589,0.0,0.0
England 2-0,7.2,5.54,0.3991,0.0,0.0
England 2-1,5.1,7.47,0.3808,0.0,0.0
Argentina 1-3,9.9,3.84,0.3805,0.0,0.0
England 3-0,16.4,2.17,0.3561,0.0,0.0
引き分け 2-2,6.7,5.03,0.3369,0.0,0.0
England 3-1,8.7,2.92,0.2544,0.0,0.0
Argentina 2-3,10.0,2.26,0.2258,0.0,0.0
引き分け その他(3得点以上),20.0,0.98,0.1955,0.0,0.0
England 3-2,9.7,1.97,0.1911,0.0,0.0
