Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 104,700 JPY)"
Canada その他(4得点以上),12.4,11.1,1.3758,0.01648,1726.0
引き分け 1-1,6.1,11.29,0.6889,0.0,0.0
Canada 0-3,8.5,7.89,0.6702,0.0,0.0
引き分け 0-0,7.3,8.82,0.6438,0.0,0.0
Canada 0-1,4.8,13.4,0.6431,0.0,0.0
Canada 0-2,4.8,13.02,0.6249,0.0,0.0
Canada 1-3,7.3,5.7,0.4162,0.0,0.0
Canada 1-2,4.3,9.41,0.4047,0.0,0.0
South Africa 1-0,7.6,4.77,0.3625,0.0,0.0
引き分け 2-2,10.1,3.4,0.3437,0.0,0.0
Canada 2-3,14.5,2.06,0.2988,0.0,0.0
South Africa 2-1,7.7,3.75,0.2884,0.0,0.0
South Africa 2-0,10.2,2.06,0.2103,0.0,0.0
引き分け その他(3得点以上),35.7,0.54,0.1927,0.0,0.0
South Africa 3-1,19.1,0.9,0.1724,0.0,0.0
South Africa その他(4得点以上),29.8,0.58,0.1724,0.0,0.0
South Africa 3-2,19.5,0.82,0.1599,0.0,0.0
South Africa 3-0,29.1,0.5,0.1446,0.0,0.0
