Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 104,700 JPY)"
引き分け 0-0,19.1,5.14,0.9815,0.0,0.0
引き分け 1-1,10.5,8.92,0.9364,0.0,0.0
France 1-0,7.3,9.49,0.6928,0.0,0.0
Sweden 1-2,20.2,3.27,0.6611,0.0,0.0
引き分け 2-2,16.1,3.8,0.612,0.0,0.0
Sweden 0-1,21.5,2.79,0.5989,0.0,0.0
Sweden 0-2,42.4,1.41,0.5973,0.0,0.0
France その他(4得点以上),2.4,20.42,0.49,0.0,0.0
France 2-1,5.1,9.5,0.4846,0.0,0.0
France 2-0,4.0,11.88,0.4751,0.0,0.0
Sweden 2-3,44.6,1.01,0.4521,0.0,0.0
Sweden その他(4得点以上),60.0,0.74,0.4436,0.0,0.0
Sweden 1-3,50.8,0.87,0.4433,0.0,0.0
France 3-0,3.9,9.2,0.3587,0.0,0.0
引き分け その他(3得点以上),40.0,0.88,0.3533,0.0,0.0
France 3-2,11.7,2.94,0.3444,0.0,0.0
France 3-1,3.8,7.36,0.2796,0.0,0.0
Sweden 0-3,69.2,0.38,0.26,0.0,0.0
