Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 104,700 JPY)"
United States その他(4得点以上),5.2,17.21,0.8951,0.0,0.0
引き分け 1-1,6.8,9.68,0.6579,0.0,0.0
引き分け 0-0,9.9,6.13,0.6072,0.0,0.0
United States 1-0,5.5,10.73,0.5901,0.0,0.0
Bosnia and Herzegovina その他(4得点以上),80.3,0.67,0.5403,0.0,0.0
United States 2-0,3.7,12.46,0.4609,0.0,0.0
United States 3-0,5.1,8.97,0.4576,0.0,0.0
引き分け 2-2,12.3,3.69,0.4542,0.0,0.0
Bosnia and Herzegovina 0-1,13.0,3.31,0.4301,0.0,0.0
United States 2-1,4.0,9.59,0.3836,0.0,0.0
Bosnia and Herzegovina 1-2,10.9,3.42,0.3725,0.0,0.0
Bosnia and Herzegovina 2-3,39.1,0.95,0.3706,0.0,0.0
United States 3-2,13.2,2.66,0.3511,0.0,0.0
United States 3-1,5.0,6.91,0.3454,0.0,0.0
引き分け その他(3得点以上),43.9,0.76,0.333,0.0,0.0
Bosnia and Herzegovina 0-2,20.1,1.58,0.3179,0.0,0.0
Bosnia and Herzegovina 1-3,35.0,0.88,0.307,0.0,0.0
Bosnia and Herzegovina 0-3,53.6,0.41,0.2176,0.0,0.0
