Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 104,700 JPY)"
Belgium その他(4得点以上),11.5,10.86,1.249,0.01186,1242.0
Senegal その他(4得点以上),30.9,2.14,0.6619,0.0,0.0
Belgium 3-0,11.8,5.55,0.6544,0.0,0.0
Belgium 1-0,6.8,9.17,0.6234,0.0,0.0
引き分け 1-1,5.0,11.84,0.5922,0.0,0.0
Belgium 2-0,6.3,9.19,0.5788,0.0,0.0
引き分け 0-0,8.2,6.58,0.5396,0.0,0.0
Belgium 3-1,8.0,5.94,0.4752,0.0,0.0
Belgium 2-1,4.4,9.84,0.4329,0.0,0.0
Senegal 0-1,8.0,5.02,0.4018,0.0,0.0
Belgium 3-2,11.9,3.18,0.3785,0.0,0.0
引き分け 2-2,7.0,5.27,0.3688,0.0,0.0
Senegal 0-3,30.3,1.15,0.3476,0.0,0.0
Senegal 1-2,5.9,5.82,0.3433,0.0,0.0
引き分け その他(3得点以上),26.0,1.28,0.3339,0.0,0.0
Senegal 0-2,10.3,3.21,0.3309,0.0,0.0
Senegal 1-3,14.4,2.08,0.2991,0.0,0.0
Senegal 2-3,14.7,1.88,0.2765,0.0,0.0
