Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 104,700 JPY)"
Portugal その他(4得点以上),18.1,12.62,2.2841,0.03755,3931.0
Croatia その他(4得点以上),44.2,2.51,1.1089,0.00126,132.0
Portugal 3-0,12.9,5.58,0.7192,0.0,0.0
引き分け 1-1,4.7,11.2,0.5263,0.0,0.0
Portugal 3-1,8.2,6.31,0.5175,0.0,0.0
Portugal 2-0,5.9,8.71,0.514,0.0,0.0
Portugal 1-0,6.0,8.15,0.489,0.0,0.0
Portugal 2-1,4.4,9.86,0.4339,0.0,0.0
引き分け 0-0,7.5,5.65,0.4238,0.0,0.0
引き分け その他(3得点以上),26.0,1.55,0.4025,0.0,0.0
Portugal 3-2,11.1,3.57,0.3965,0.0,0.0
Croatia 1-3,17.6,2.19,0.3861,0.0,0.0
引き分け 2-2,6.9,5.58,0.3851,0.0,0.0
Croatia 0-3,32.6,1.14,0.3725,0.0,0.0
Croatia 2-3,17.6,2.11,0.3707,0.0,0.0
Croatia 1-2,6.0,5.81,0.3489,0.0,0.0
Croatia 0-1,7.2,4.43,0.3187,0.0,0.0
Croatia 0-2,9.7,3.03,0.2937,0.0,0.0
