Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 104,700 JPY)"
Spain その他(4得点以上),5.5,17.74,0.9759,0.0,0.0
引き分け 1-1,7.5,9.49,0.7116,0.0,0.0
Spain 1-0,5.1,10.76,0.5488,0.0,0.0
引き分け 2-2,15.1,3.59,0.5421,0.0,0.0
Austria 1-2,15.7,3.28,0.5152,0.0,0.0
Austria その他(4得点以上),82.1,0.62,0.5111,0.0,0.0
Austria 0-1,15.8,3.19,0.5048,0.0,0.0
引き分け 0-0,7.8,6.06,0.4726,0.0,0.0
Austria 0-2,29.1,1.5,0.4364,0.0,0.0
Spain 2-1,4.2,9.52,0.3999,0.0,0.0
Spain 2-0,3.1,12.63,0.3915,0.0,0.0
引き分け その他(3得点以上),51.7,0.73,0.3777,0.0,0.0
Spain 3-0,4.1,9.21,0.3776,0.0,0.0
Austria 2-3,41.8,0.9,0.3771,0.0,0.0
Austria 1-3,45.7,0.82,0.3769,0.0,0.0
Spain 3-1,5.4,6.94,0.375,0.0,0.0
Spain 3-2,13.6,2.62,0.3561,0.0,0.0
Austria 0-3,65.8,0.38,0.248,0.0,0.0
