home_team,away_team,odds_home,odds_draw,odds_away
Qatar,Ecuador,3.7,3.13,2.38
England,Iran,1.34,5.0,14.0
Senegal,Netherlands,7.2,4.1,1.58
United States,Wales,2.45,3.13,3.47
Argentina,Saudi Arabia,1.18,8.2,23.0
Denmark,Tunisia,1.5,4.3,8.4
Mexico,Poland,2.85,3.14,2.9
France,Australia,1.32,6.0,12.0
Morocco,Croatia,4.1,3.25,2.11
Germany,Japan,1.51,4.7,7.0
Spain,Costa Rica,1.18,8.0,23.0
Belgium,Canada,1.55,4.5,6.75
Switzerland,Cameroon,1.76,3.65,5.7
Uruguay,South Korea,1.83,3.6,5.4
Portugal,Ghana,1.4,4.9,10.0
Brazil,Serbia,1.49,4.7,7.6
Wales,Iran,2.44,3.3,3.41
Qatar,Senegal,3.6,3.29,2.3
Netherlands,Ecuador,1.64,4.1,6.5
England,United States,1.63,4.1,6.3
Tunisia,Australia,2.68,3.2,3.03
Poland,Saudi Arabia,1.67,3.93,6.3
France,Denmark,2.15,3.3,4.1
Argentina,Mexico,1.53,4.3,8.0
Japan,Costa Rica,1.67,3.95,6.4
Belgium,Morocco,1.63,4.2,6.0
Croatia,Canada,1.76,3.8,5.3
Spain,Germany,2.6,3.6,2.8
Cameroon,Serbia,5.6,3.73,1.8
South Korea,Ghana,2.6,3.15,3.16
Brazil,Switzerland,1.5,4.6,7.6
Portugal,Uruguay,2.16,3.47,3.85
Ecuador,Senegal,2.8,3.27,2.78
Netherlands,Qatar,1.28,6.75,14.0
Iran,United States,4.0,3.55,2.05
Wales,England,6.25,4.1,1.63
Tunisia,France,14.0,5.3,1.35
Australia,Denmark,7.5,4.5,1.55
Saudi Arabia,Mexico,5.6,3.8,1.72
Poland,Argentina,5.8,4.0,1.72
Croatia,Belgium,3.6,3.5,2.25
Canada,Morocco,3.3,3.41,2.4
Japan,Spain,8.5,4.75,1.51
Costa Rica,Germany,15.0,6.4,1.28
South Korea,Portugal,7.5,4.3,1.63
Ghana,Uruguay,5.3,3.64,1.83
Serbia,Switzerland,2.85,3.4,2.77
Cameroon,Brazil,15.0,6.7,1.25
Netherlands,United States,1.95,3.3,4.2
Argentina,Australia,1.2,6.5,15.0
France,Poland,1.3,5.5,11.0
England,Senegal,1.53,3.8,7.5
Japan,Croatia,3.8,3.25,2.05
Brazil,South Korea,1.25,6.0,12.0
Morocco,Spain,6.5,4.0,1.57
Portugal,Switzerland,1.9,3.4,4.33
Croatia,Brazil,9.0,4.75,1.36
Netherlands,Argentina,3.6,3.1,2.2
Morocco,Portugal,5.5,3.6,1.66
England,France,3.0,3.2,2.45
Argentina,Croatia,1.83,3.4,4.75
France,Morocco,1.53,3.9,7.0
Croatia,Morocco,2.37,3.4,3.0
Argentina,France,2.7,3.0,2.8
