team,odds
France,3.1
Spain,3.3
Portugal,4.8
England,5.1
Argentina,5.5
Brazil,5.8
Germany,10.2
Japan,10.4
Netherlands,11.0
Norway,19.2
Morocco,19.8
Belgium,21.9
Croatia,32.7
Mexico,37.5
United States,43.0
Uruguay,53.9
Colombia,56.5
Ecuador,84.6
Senegal,107.0
Switzerland,154.5
Sweden,157.8
Ivory Coast,163.3
Turkey,207.9
Paraguay,303.3
Canada,353.2
South Korea,356.9
Egypt,366.4
Austria,463.5
Iran,476.4
Scotland,490.0
Czech Republic,531.6
Ghana,540.0
Algeria,563.6
Australia,584.4
Curaçao,640.6
Bosnia and Herzegovina,661.2
Uzbekistan,699.3
Saudi Arabia,713.8
Tunisia,713.8
South Africa,716.3
Qatar,781.4
New Zealand,877.8
Iraq,946.3
Cape Verde,987.0
Jordan,991.8
Panama,996.5
DR Congo,1001.4
Haiti,1021.2
