team,squad_value_eur_million
France,1520
England,1360
Spain,1220
Portugal,1010
Germany,947
Brazil,928
Argentina,782
Netherlands,754
Norway,589
Belgium,547
Italy,700
Japan,350
South Korea,180
United States,350
Mexico,220
Canada,200
Morocco,350
Uruguay,480
Colombia,280
Ecuador,220
Denmark,320
Croatia,280
Switzerland,250
Senegal,250
Nigeria,300
Cameroon,140
Ivory Coast,300
South Africa,30
Czech Republic,150
Scotland,200
Turkey,300
Saudi Arabia,30
Australia,50
Iran,50
Qatar,20
Egypt,130
New Zealand,25
Uzbekistan,35
Panama,20
Honduras,15
Costa Rica,25
Algeria,180
Mali,140
Ghana,220
Tunisia,50
Cape Verde,30
Bosnia and Herzegovina,80
Haiti,15
Curaçao,10
Jordan,15
San Marino,1
Sweden,430
Austria,273
Paraguay,158
DR Congo,150
Iraq,21
