year,date,home_team,away_team,home_score,away_score,home_xg,away_xg,home_shots,away_shots
2018,2018-06-14,Russia,Saudi Arabia,5,0,1.282,0.249,14,6
2018,2018-06-15,Egypt,Uruguay,0,1,0.364,1.941,8,16
2018,2018-06-15,Portugal,Spain,3,3,1.435,1.661,10,12
2018,2018-06-15,Morocco,Iran,0,1,1.059,0.698,14,8
2018,2018-06-16,Argentina,Iceland,1,1,2.081,1.032,28,9
2018,2018-06-16,Croatia,Nigeria,2,0,1.694,0.762,11,13
2018,2018-06-16,France,Australia,2,1,1.562,0.98,12,5
2018,2018-06-16,Peru,Denmark,0,1,1.926,1.122,17,11
2018,2018-06-17,Germany,Mexico,0,1,2.299,0.993,26,12
2018,2018-06-17,Costa Rica,Serbia,0,1,0.596,1.993,10,12
2018,2018-06-17,Brazil,Switzerland,1,1,1.867,0.472,21,7
2018,2018-06-18,Sweden,South Korea,1,0,2.015,0.414,16,5
2018,2018-06-18,Belgium,Panama,3,0,1.212,0.625,15,7
2018,2018-06-18,Tunisia,England,1,2,0.946,2.626,6,18
2018,2018-06-19,Poland,Senegal,1,2,1.042,1.428,10,7
2018,2018-06-19,Russia,Egypt,3,1,0.981,1.698,12,15
2018,2018-06-19,Colombia,Japan,1,2,0.806,2.321,10,14
2018,2018-06-20,Iran,Spain,0,1,0.426,2.197,6,18
2018,2018-06-20,Uruguay,Saudi Arabia,1,0,1.807,0.273,14,8
2018,2018-06-20,Portugal,Morocco,1,0,0.885,1.455,12,17
2018,2018-06-21,France,Peru,1,0,1.862,0.625,12,12
2018,2018-06-21,Argentina,Croatia,0,3,1.218,1.832,10,14
2018,2018-06-21,Denmark,Australia,1,1,1.014,1.412,10,13
2018,2018-06-22,Serbia,Switzerland,1,2,1.153,1.557,12,19
2018,2018-06-22,Brazil,Costa Rica,2,0,3.096,0.159,23,4
2018,2018-06-22,Nigeria,Iceland,2,0,1.312,1.552,17,10
2018,2018-06-23,South Korea,Mexico,1,2,0.822,1.878,17,14
2018,2018-06-23,Germany,Sweden,2,1,1.318,0.815,18,7
2018,2018-06-23,Belgium,Tunisia,5,2,5.336,1.188,23,17
2018,2018-06-24,England,Panama,6,1,3.168,1.08,11,8
2018,2018-06-24,Poland,Colombia,0,3,1.114,1.387,11,13
2018,2018-06-24,Japan,Senegal,2,2,0.982,1.878,7,15
2018,2018-06-25,Iran,Portugal,1,1,1.577,1.522,9,15
2018,2018-06-25,Uruguay,Russia,3,0,2.483,0.18,16,3
2018,2018-06-25,Spain,Morocco,2,2,2.604,1.072,18,8
2018,2018-06-25,Saudi Arabia,Egypt,2,1,2.546,0.924,21,8
2018,2018-06-26,Iceland,Croatia,1,2,2.133,0.674,17,13
2018,2018-06-26,Australia,Peru,0,2,1.629,0.336,16,4
2018,2018-06-26,Nigeria,Argentina,1,2,1.305,0.851,9,8
2018,2018-06-26,Denmark,France,0,0,0.139,0.418,5,11
2018,2018-06-27,Serbia,Brazil,0,2,0.948,1.42,11,15
2018,2018-06-27,Switzerland,Costa Rica,2,2,1.22,1.576,13,14
2018,2018-06-27,Mexico,Sweden,0,3,1.611,2.79,22,15
2018,2018-06-27,South Korea,Germany,2,0,1.775,2.706,12,29
2018,2018-06-28,Panama,Tunisia,1,2,0.691,2.852,9,15
2018,2018-06-28,Japan,Poland,0,1,0.891,1.041,11,11
2018,2018-06-28,England,Belgium,0,1,1.201,0.965,12,14
2018,2018-06-28,Senegal,Colombia,0,1,0.361,0.285,7,4
2018,2018-06-30,France,Argentina,4,3,1.638,1.447,9,12
2018,2018-06-30,Uruguay,Portugal,2,1,0.476,0.996,7,21
2018,2018-07-01,Croatia,Denmark,1,1,6.088,4.614,26,19
2018,2018-07-01,Spain,Russia,1,1,5.359,4.54,29,12
2018,2018-07-02,Belgium,Japan,3,2,2.918,0.694,28,12
2018,2018-07-02,Brazil,Mexico,2,0,3.32,0.583,19,14
2018,2018-07-03,Colombia,England,1,1,4.749,6.162,19,22
2018,2018-07-03,Sweden,Switzerland,1,0,0.91,0.533,12,16
2018,2018-07-06,Brazil,Belgium,1,2,2.609,0.405,25,8
2018,2018-07-06,Uruguay,France,0,2,0.693,0.539,10,11
2018,2018-07-07,Sweden,England,0,2,0.834,0.758,8,12
